360,59;62,92;49,47;87,12;781,65;69,9;4;176,88;85,76;10,65;101,29;31,05;29,59;120,78;43,06;340,95;312,29;122,12;9,57;28,94;87,65;357,67;87,82;114,59;58,71;91,65;11,53;304,82;150,76;100,9;58,71;40,06;7,47;62,71;3,32;248,76;398,9;13,11;68,12;37,47;63,82;371,88;264,71;76,12;65,12;99,65;10,47;55,53;65,82;8,57;4,59;1336,18;34,41;82,41;20,37;100,59;52,82;29,41;20,88;7,25;344,28;165,41;57,12;232,76;98,41;7,94;47,9;339,59;41,29;510,94;69,41;15,16;178,71;53,9;43,24;135,47;5;3,59;32,37;9;62,06;159,71;55,76;65,88;49,71;502,74;11,41;143,24;82;246,76;148,88;14,18;21,88;6,11;129;32,9;90;13,82;57,37;3,86;9,9;54,12;140;9;1;26,95;79,13;20,3;76,94;97,46;20;83,78;9,18;25,89;125,4;313;36,32;10,39;5,12;9,98;21,75;12,14;62,34;56,68;100,9;200;10,9;12,9;100,06;59,71;30,84;37,26;40,47;32,05;30;7,76;59,84;42,06;117,29;155;67,55;10,57;8,53;22,65;222,9;19,24;135;13,9;19,53;14,24;35,41;8,9;194,88;23,71;5,47;95,47;275,47;169,12;51,47;100,78;120,35;253;3517,65;4154,86;99,22;157,65;100,18;93,58;46,35;50,59;201,88;5,4;850,16;379,29;281,35;390,18;1497,22;828,18;89,77;19,82;78,9;1041,59;64,62;35,58;310,88;476,9;547,76;763,09;376,75;699,98;1342,45;13,11;6,91;3,51;15,65;6,14;7,71;55,33;32,5;4,26;8
1404;289,9;621;321;2630;230;90;623;420;41;228;110;135;768;698;2080;1217;266;20,9;78;524;1420;265;450;180;320;66;848;555;250;200;301;23;396;25;457;1601;111;200;293;289;1628;2794;712;523;312;62,35;142;487;21,9;120;2899;789;741;229;264;300;394;179;19,69;1890,9;418;111;473;325;39;452;1425;288;2936;354;85,9;880;266;239;535;49;21;117;45;279;499;370;294;369;2203;212;899;412;659;431;41;178;78;850;176;309,9;94,3;132;68,54;40;214;889;87,9;1;165;619,87;98,54;210;601,54;99,9;110,22;60,11;105,41;95,55;1336;132;98,9;10,9;89,9;189,9;89,9;219,9;201,11;110;899;39;109;321;399;108;110;230;389;999;98;319;199;312;544;209;59,9;49;189;777;123;359;36;98;68;188;22;745;655;45;355;1455;1099;599;288;256;1741;13529,29;9550,9;468,9;2054;299,7;254,54;90;254;998;68,6;2090,9;1350;855;1845;6855,6;1090,6;110,11;133;421;6723;123,5;399,6;1889;3812;3758;6254,44;7254,9;2899,9;6233,9;71;24,56;17,44;300,9;67,44;97,45;112,99;388,45;79,85;31,9
0,374356277;0,657721873;0,744763472;0,972044795;0,556465427;0,660927114;0,004687258;0,404971825;0,012091687;0,431825131;0,222025383;0,355321939;0,586517038;0,851217153;0,555243215;0,643252512;0,920590636;0,316074906;0,264797581;0,909333859;0,021883777;0,004771797;0,922425509;0,152852987;0,075211515;0,541165808;0,359725169;0,166975573;0,380334807;0,934201453;0,679388216;0,372799853;0,287211262;0,489717975;0,981078662;0,701987316;0,358784668;0,332644913;0,271141321;0,656915835;0,485685056;0,430274206;0,242343292;0,333062788;0,547489195;0,410756325;0,975482929;0,172622742;0,964239345;0,104465183;0,294687296;0,620313352;0,016974913;0,536132075;0,072829765;0,999802044;0,542369626;0,118956921;0,633387418;0,204544184;0,356819109;0,78958206;0,57726053;0,567175141;0,837482773;0,415511188;0,803071402;0,273374101;0,72728084;0,669238451;0,493047272;0,659240113;0,509941616;0,418712933;0,707485389;0,439052211;0,122838175;0,993418438;0,171260663;0,125998307;0,606143669;0,844684766;0,959605073;0,550055053;0,596249315;0,539275733;0,996201467;0,363188219;0,233950112;0,061177025;0,352448332;0,435671945;0,8241057;0,813266737;0,316686895;0,648883254;0,702891086;0,590922004;0,957596048;0,389948708;0,459770279;0,283266792;0,783070466;0,12059672;0,730388548;0,122872323;0,255599949;0,683557455;0,008379741;0,330902276;0,107187557;0,579784661;0,902658615;0,530842823;0,983596951;0,555830642;0,834979269;0,408078142;0,266016487;0,839659236;0,759113007;0,579271524;0,145538707;0,815499944;0,997966152;0,038004367;0,173818547;0,446451837;0,606956608;0,665644816;0,409083399;0,689999079;0,122821709;0,80723336;0,217728752;0,353847754;0,155062154;0,503387579;0,68924735;0,99240707;0,51167687;0,774153322;0,767463652;0,147027738;0,483823062;0,536653051;0,400114607;0,108686319;0,149176431;0,188391401;0,742856469;0,764538972;0,339259853;0,737342185;0,56337672;0,571721425;0,270329735;0,704344551;0,449042764;0,023051012;0,298432377;0,545622678;0,352760935;0,215574646;0,705999923;0,708641522;0,607062358;0,045847595;0,942313815;0,68002756;0,892893039;0,733927977;0,780682189;0,750852937;0,366161986;0,842314201;0,25599818;0,349539;0,159089454;0,570428575;0,468221147;0,683357742;0,05659856;0,301218191;0,291509599;0,252892042;0,931791119;0,111458167;0,6267456;0,161460084;0,797656222;0,551428233;0,844354053;0,070580158;0,873308033;0,469608502;0,742572202;0,554282053;0,096903132;0,726424936;0,594600701
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
35;30;12;31;53;10;8;20;30;40;25;9;15;10;30;9;3;30;12;8;50;10;20;15;30;13;5;15;10;25;25;30;5;30;15;15;9;5;10;8;9;13;15;12;20;8;5;20;25;15;10;20;8;20;10;20;8;8;10;10;10;5;4;6;10;21;8;8;6;10;20;50;9;20;15;25;30;40;25;15;20;35;10;12;15;20;13;30;8;12;10;15;8;6;8;10;15;20;6;8;4;6;7;3;8;4;5;6;5;5;7;8;6;7;5;7;9;5;5;8;6;7;4;8;5;5;5;8;9;5;5;7;8;9;4;4;5;6;4;5;4;4;4;3;8;7;3;2;8;9;2;8;4;4;8;9;9;2;2;4;1;8;2;2;5;5;5;8;8;4;3;4;6;5;1;5;2;2;9;9;6;1;8;8;2;5;3;8;1;3;2;9;5;2;4;7;6;2;4;7;6
